order_id,product_id,product_name,category,price,quantity,total_amount,city,province,order_date,customer_id
ORD00020,P006,Jeans,Clothing,59.99,5,299.95,Karachi,Sindh,2023-12-17,CUST6530
ORD00021,P008,Blender,Appliances,49.99,1,49.99,Rawalpindi,Punjab,2023-12-02,CUST8243
ORD00022,P003,Headphones,Electronics,149.99,3,449.97,Lahore,Punjab,2023-05-29,CUST7503
ORD00023,P008,Blender,Appliances,49.99,4,199.96,Peshawar,KPK,2023-12-13,CUST6264
ORD00024,P013,Face Cream,Beauty,34.99,3,104.97,Rawalpindi,Punjab,2023-10-22,CUST5634
ORD00025,P011,Sofa,Furniture,599.99,2,1199.98,Rawalpindi,Punjab,2023-08-18,CUST4582
ORD00026,P006,Jeans,Clothing,59.99,2,119.98,Peshawar,KPK,2023-04-03,CUST7633
ORD00027,P001,Laptop,Electronics,899.99,2,1799.98,Faisalabad,Punjab,2023-03-10,CUST9887
ORD00028,P002,Smartphone,Electronics,699.99,2,1399.98,Quetta,Balochistan,2023-06-23,CUST8212
ORD00029,P005,T-Shirt,Clothing,29.99,3,89.97,Multan,Punjab,2023-09-12,CUST8863
ORD00030,P003,Headphones,Electronics,149.99,2,299.98,Peshawar,KPK,2023-04-01,CUST3563
ORD00031,P003,Headphones,Electronics,149.99,5,749.95,Rawalpindi,Punjab,2023-10-30,CUST5405
ORD00032,P013,Face Cream,Beauty,34.99,2,69.98,Karachi,Sindh,2023-04-01,CUST6322
ORD00033,P014,Shampoo,Beauty,12.99,2,25.98,Peshawar,KPK,2023-05-26,CUST9600
ORD00034,P002,Smartphone,Electronics,699.99,5,3499.95,Lahore,Punjab,2023-03-29,CUST2738
ORD00035,P006,Jeans,Clothing,59.99,1,59.99,Peshawar,KPK,2023-08-22,CUST3263
ORD00036,P008,Blender,Appliances,49.99,4,199.96,Peshawar,KPK,2023-08-05,CUST7479
ORD00037,P001,Laptop,Electronics,899.99,4,3599.96,Peshawar,KPK,2023-05-31,CUST9317
ORD00038,P006,Jeans,Clothing,59.99,3,179.97,Islamabad,Federal,2023-04-07,CUST9625
ORD00039,P015,Yoga Mat,Sports,39.99,1,39.99,Lahore,Punjab,2023-06-15,CUST2776
ORD00040,P004,Running Shoes,Footwear,89.99,2,179.98,Multan,Punjab,2023-10-16,CUST1678
ORD00041,P007,Coffee Maker,Appliances,79.99,4,319.96,Islamabad,Federal,2023-03-04,CUST6453
ORD00042,P009,Novel Book,Books,14.99,2,29.98,Islamabad,Federal,2023-09-24,CUST4200
ORD00043,P011,Sofa,Furniture,599.99,2,1199.98,Islamabad,Federal,2023-06-22,CUST7447
ORD00044,P011,Sofa,Furniture,599.99,3,1799.97,Peshawar,KPK,2023-08-30,CUST5712
ORD00045,P002,Smartphone,Electronics,699.99,5,3499.95,Islamabad,Federal,2023-09-09,CUST8537
ORD00046,P011,Sofa,Furniture,599.99,5,2999.95,Lahore,Punjab,2023-06-16,CUST7006
ORD00047,P014,Shampoo,Beauty,12.99,4,51.96,Faisalabad,Punjab,2023-01-26,CUST5940
ORD00048,P007,Coffee Maker,Appliances,79.99,5,399.95,Lahore,Punjab,2023-12-03,CUST2237
ORD00049,P011,Sofa,Furniture,599.99,2,1199.98,Quetta,Balochistan,2023-11-28,CUST4743
ORD00050,P013,Face Cream,Beauty,34.99,3,104.97,Faisalabad,Punjab,2023-08-26,CUST1314
ORD00051,P009,Novel Book,Books,14.99,2,29.98,Multan,Punjab,2023-08-04,CUST8804
ORD00052,P009,Novel Book,Books,14.99,3,44.97,Islamabad,Federal,2023-11-30,CUST3638
ORD00053,P015,Yoga Mat,Sports,39.99,1,39.99,Faisalabad,Punjab,2023-02-11,CUST3592
ORD00054,P009,Novel Book,Books,14.99,2,29.98,Quetta,Balochistan,2023-06-06,CUST5122
ORD00055,P002,Smartphone,Electronics,699.99,5,3499.95,Rawalpindi,Punjab,2023-10-04,CUST5877
ORD00056,P013,Face Cream,Beauty,34.99,4,139.96,Multan,Punjab,2023-12-15,CUST7329
ORD00057,P015,Yoga Mat,Sports,39.99,1,39.99,Rawalpindi,Punjab,2023-08-30,CUST9951
ORD00058,P008,Blender,Appliances,49.99,3,149.97,Lahore,Punjab,2023-11-22,CUST7511
ORD00059,P012,Office Chair,Furniture,249.99,3,749.97,Faisalabad,Punjab,2023-01-05,CUST9390
ORD00060,P008,Blender,Appliances,49.99,4,199.96,Islamabad,Federal,2023-12-25,CUST8483
ORD00061,P010,Textbook,Books,79.99,3,239.97,Faisalabad,Punjab,2023-11-29,CUST3644
ORD00062,P005,T-Shirt,Clothing,29.99,1,29.99,Lahore,Punjab,2023-01-10,CUST1564
ORD00063,P013,Face Cream,Beauty,34.99,3,104.97,Multan,Punjab,2023-07-11,CUST2037
ORD00064,P006,Jeans,Clothing,59.99,1,59.99,Rawalpindi,Punjab,2023-10-17,CUST1900
ORD00065,P009,Novel Book,Books,14.99,2,29.98,Multan,Punjab,2023-01-01,CUST4863
ORD00066,P007,Coffee Maker,Appliances,79.99,3,239.97,Peshawar,KPK,2023-12-26,CUST3415
ORD00067,P015,Yoga Mat,Sports,39.99,1,39.99,Lahore,Punjab,2023-08-15,CUST7048
ORD00068,P013,Face Cream,Beauty,34.99,2,69.98,Rawalpindi,Punjab,2023-05-16,CUST5014
ORD00069,P005,T-Shirt,Clothing,29.99,5,149.95,Quetta,Balochistan,2023-07-19,CUST7743
ORD00070,P010,Textbook,Books,79.99,5,399.95,Lahore,Punjab,2023-10-31,CUST3842
ORD00071,P008,Blender,Appliances,49.99,4,199.96,Lahore,Punjab,2023-01-01,CUST9900
ORD00072,P012,Office Chair,Furniture,249.99,5,1249.95,Multan,Punjab,2023-12-27,CUST8077
ORD00073,P011,Sofa,Furniture,599.99,1,599.99,Quetta,Balochistan,2023-01-30,CUST7428
ORD00074,P001,Laptop,Electronics,899.99,4,3599.96,Rawalpindi,Punjab,2023-03-15,CUST8682
ORD00075,P011,Sofa,Furniture,599.99,1,599.99,Rawalpindi,Punjab,2023-11-02,CUST6208
ORD00076,P010,Textbook,Books,79.99,1,79.99,Lahore,Punjab,2023-08-14,CUST3618
ORD00077,P013,Face Cream,Beauty,34.99,4,139.96,Peshawar,KPK,2023-08-19,CUST6160
ORD00078,P005,T-Shirt,Clothing,29.99,4,119.96,Lahore,Punjab,2023-10-30,CUST7585
ORD00079,P009,Novel Book,Books,14.99,1,14.99,Karachi,Sindh,2023-12-05,CUST7541
ORD00080,P014,Shampoo,Beauty,12.99,4,51.96,Peshawar,KPK,2023-06-17,CUST4145
ORD00081,P011,Sofa,Furniture,599.99,3,1799.97,Islamabad,Federal,2023-01-18,CUST6274
ORD00082,P002,Smartphone,Electronics,699.99,5,3499.95,Rawalpindi,Punjab,2023-08-22,CUST9277
ORD00083,P014,Shampoo,Beauty,12.99,2,25.98,Peshawar,KPK,2023-03-20,CUST5098
ORD00084,P011,Sofa,Furniture,599.99,1,599.99,Quetta,Balochistan,2023-05-11,CUST7936
ORD00085,P012,Office Chair,Furniture,249.99,4,999.96,Peshawar,KPK,2023-10-07,CUST3198
ORD00086,P008,Blender,Appliances,49.99,2,99.98,Rawalpindi,Punjab,2023-07-14,CUST9840
ORD00087,P001,Laptop,Electronics,899.99,2,1799.98,Islamabad,Federal,2023-12-23,CUST1111
ORD00088,P002,Smartphone,Electronics,699.99,4,2799.96,Faisalabad,Punjab,2023-05-13,CUST9189
ORD00089,P005,T-Shirt,Clothing,29.99,1,29.99,Peshawar,KPK,2023-09-20,CUST9163
ORD00090,P002,Smartphone,Electronics,699.99,1,699.99,Peshawar,KPK,2023-06-05,CUST1194
ORD00091,P005,T-Shirt,Clothing,29.99,3,89.97,Rawalpindi,Punjab,2023-11-25,CUST9581
ORD00092,P012,Office Chair,Furniture,249.99,1,249.99,Multan,Punjab,2023-01-04,CUST6945
ORD00093,P013,Face Cream,Beauty,34.99,3,104.97,Lahore,Punjab,2023-08-31,CUST4262
ORD00094,P002,Smartphone,Electronics,699.99,1,699.99,Karachi,Sindh,2023-02-20,CUST3188
ORD00095,P005,T-Shirt,Clothing,29.99,4,119.96,Quetta,Balochistan,2023-07-12,CUST5674
ORD00096,P001,Laptop,Electronics,899.99,5,4499.95,Lahore,Punjab,2023-05-01,CUST2963
ORD00097,P013,Face Cream,Beauty,34.99,4,139.96,Lahore,Punjab,2023-02-25,CUST7208
ORD00098,P015,Yoga Mat,Sports,39.99,1,39.99,Islamabad,Federal,2023-09-20,CUST1441
ORD00099,P003,Headphones,Electronics,149.99,5,749.95,Peshawar,KPK,2023-03-02,CUST8016
ORD00100,P001,Laptop,Electronics,899.99,4,3599.96,Peshawar,KPK,2023-01-17,CUST3223
ORD00101,P008,Blender,Appliances,49.99,2,99.98,Peshawar,KPK,2023-06-06,CUST2256
ORD00102,P010,Textbook,Books,79.99,5,399.95,Quetta,Balochistan,2023-01-28,CUST7231
ORD00103,P009,Novel Book,Books,14.99,2,29.98,Faisalabad,Punjab,2023-10-04,CUST2347
ORD00104,P005,T-Shirt,Clothing,29.99,4,119.96,Peshawar,KPK,2023-06-08,CUST9770
ORD00105,P010,Textbook,Books,79.99,4,319.96,Islamabad,Federal,2023-06-22,CUST5301
ORD00106,P006,Jeans,Clothing,59.99,2,119.98,Quetta,Balochistan,2023-01-09,CUST7783
ORD00107,P008,Blender,Appliances,49.99,3,149.97,Rawalpindi,Punjab,2023-05-08,CUST7233
ORD00108,P004,Running Shoes,Footwear,89.99,2,179.98,Faisalabad,Punjab,2023-09-10,CUST8002
ORD00109,P004,Running Shoes,Footwear,89.99,4,359.96,Lahore,Punjab,2023-10-01,CUST9030
ORD00110,P010,Textbook,Books,79.99,5,399.95,Faisalabad,Punjab,2023-11-19,CUST3694
ORD00111,P015,Yoga Mat,Sports,39.99,1,39.99,Faisalabad,Punjab,2023-01-10,CUST7175
ORD00112,P015,Yoga Mat,Sports,39.99,3,119.97,Lahore,Punjab,2023-10-02,CUST3643
ORD00113,P010,Textbook,Books,79.99,5,399.95,Islamabad,Federal,2023-06-22,CUST5722
ORD00114,P002,Smartphone,Electronics,699.99,2,1399.98,Peshawar,KPK,2023-10-21,CUST2743
ORD00115,P012,Office Chair,Furniture,249.99,2,499.98,Lahore,Punjab,2023-04-26,CUST1381
ORD00116,P002,Smartphone,Electronics,699.99,5,3499.95,Rawalpindi,Punjab,2023-07-08,CUST3679
ORD00117,P004,Running Shoes,Footwear,89.99,1,89.99,Multan,Punjab,2023-11-19,CUST4857
ORD00118,P013,Face Cream,Beauty,34.99,3,104.97,Quetta,Balochistan,2023-09-28,CUST8056
ORD00119,P003,Headphones,Electronics,149.99,3,449.97,Lahore,Punjab,2023-06-01,CUST2208
ORD00120,P014,Shampoo,Beauty,12.99,3,38.97,Islamabad,Federal,2023-09-10,CUST7984
ORD00121,P002,Smartphone,Electronics,699.99,3,2099.97,Rawalpindi,Punjab,2023-07-06,CUST3235
ORD00122,P014,Shampoo,Beauty,12.99,5,64.95,Quetta,Balochistan,2023-06-05,CUST8430
ORD00123,P011,Sofa,Furniture,599.99,4,2399.96,Peshawar,KPK,2023-06-25,CUST4930
ORD00124,P004,Running Shoes,Footwear,89.99,2,179.98,Islamabad,Federal,2023-09-05,CUST7170
ORD00125,P004,Running Shoes,Footwear,89.99,3,269.97,Faisalabad,Punjab,2023-11-20,CUST5546
ORD00126,P002,Smartphone,Electronics,699.99,5,3499.95,Islamabad,Federal,2023-05-02,CUST5578
ORD00127,P011,Sofa,Furniture,599.99,2,1199.98,Faisalabad,Punjab,2023-12-24,CUST5960
ORD00128,P009,Novel Book,Books,14.99,5,74.95,Multan,Punjab,2023-12-20,CUST1663
ORD00129,P004,Running Shoes,Footwear,89.99,1,89.99,Karachi,Sindh,2023-07-03,CUST2713
ORD00130,P004,Running Shoes,Footwear,89.99,3,269.97,Rawalpindi,Punjab,2023-08-23,CUST6832
ORD00131,P004,Running Shoes,Footwear,89.99,2,179.98,Multan,Punjab,2023-08-17,CUST4478
ORD00132,P005,T-Shirt,Clothing,29.99,1,29.99,Islamabad,Federal,2023-12-18,CUST1904
ORD00133,P011,Sofa,Furniture,599.99,5,2999.95,Faisalabad,Punjab,2023-12-28,CUST4135
ORD00134,P006,Jeans,Clothing,59.99,5,299.95,Multan,Punjab,2023-09-07,CUST6405
ORD00135,P008,Blender,Appliances,49.99,5,249.95,Lahore,Punjab,2023-05-20,CUST4732
ORD00136,P010,Textbook,Books,79.99,5,399.95,Quetta,Balochistan,2023-08-10,CUST9138
ORD00137,P012,Office Chair,Furniture,249.99,4,999.96,Islamabad,Federal,2023-10-03,CUST7883
ORD00138,P014,Shampoo,Beauty,12.99,5,64.95,Islamabad,Federal,2023-07-26,CUST6667
ORD00139,P009,Novel Book,Books,14.99,3,44.97,Rawalpindi,Punjab,2023-08-14,CUST8685
ORD00140,P011,Sofa,Furniture,599.99,3,1799.97,Peshawar,KPK,2023-08-01,CUST9929
ORD00141,P003,Headphones,Electronics,149.99,2,299.98,Quetta,Balochistan,2023-05-29,CUST5874
ORD00142,P005,T-Shirt,Clothing,29.99,1,29.99,Islamabad,Federal,2023-01-01,CUST2339
ORD00143,P008,Blender,Appliances,49.99,3,149.97,Peshawar,KPK,2023-05-19,CUST8706
ORD00144,P008,Blender,Appliances,49.99,1,49.99,Karachi,Sindh,2023-11-13,CUST3926
ORD00145,P013,Face Cream,Beauty,34.99,3,104.97,Peshawar,KPK,2023-11-30,CUST6551
ORD00146,P012,Office Chair,Furniture,249.99,4,999.96,Multan,Punjab,2023-12-23,CUST6018
ORD00147,P006,Jeans,Clothing,59.99,4,239.96,Islamabad,Federal,2023-07-03,CUST3963
ORD00148,P012,Office Chair,Furniture,249.99,2,499.98,Islamabad,Federal,2023-11-24,CUST2088
ORD00149,P012,Office Chair,Furniture,249.99,1,249.99,Faisalabad,Punjab,2023-08-28,CUST4156
ORD00150,P003,Headphones,Electronics,149.99,5,749.95,Quetta,Balochistan,2023-03-31,CUST9379
ORD00151,P013,Face Cream,Beauty,34.99,2,69.98,Islamabad,Federal,2023-01-08,CUST1507
ORD00152,P015,Yoga Mat,Sports,39.99,1,39.99,Faisalabad,Punjab,2023-12-23,CUST9395
ORD00153,P005,T-Shirt,Clothing,29.99,2,59.98,Multan,Punjab,2023-05-27,CUST7616
ORD00154,P015,Yoga Mat,Sports,39.99,1,39.99,Karachi,Sindh,2023-09-14,CUST3632
ORD00155,P013,Face Cream,Beauty,34.99,2,69.98,Quetta,Balochistan,2023-10-01,CUST3005
ORD00156,P006,Jeans,Clothing,59.99,5,299.95,Multan,Punjab,2023-07-30,CUST4933
ORD00157,P005,T-Shirt,Clothing,29.99,4,119.96,Karachi,Sindh,2023-05-09,CUST9144
ORD00158,P014,Shampoo,Beauty,12.99,3,38.97,Faisalabad,Punjab,2023-09-26,CUST3959
ORD00159,P013,Face Cream,Beauty,34.99,1,34.99,Karachi,Sindh,2023-12-08,CUST6644
ORD00160,P015,Yoga Mat,Sports,39.99,3,119.97,Karachi,Sindh,2023-08-08,CUST2876
ORD00161,P006,Jeans,Clothing,59.99,1,59.99,Multan,Punjab,2023-05-10,CUST8691
ORD00162,P010,Textbook,Books,79.99,4,319.96,Rawalpindi,Punjab,2023-01-24,CUST5961
ORD00163,P014,Shampoo,Beauty,12.99,1,12.99,Rawalpindi,Punjab,2023-01-10,CUST3817
ORD00164,P009,Novel Book,Books,14.99,2,29.98,Rawalpindi,Punjab,2023-10-24,CUST8423
ORD00165,P001,Laptop,Electronics,899.99,3,2699.97,Karachi,Sindh,2023-06-25,CUST3279
ORD00166,P009,Novel Book,Books,14.99,1,14.99,Rawalpindi,Punjab,2023-06-19,CUST6779
ORD00167,P015,Yoga Mat,Sports,39.99,2,79.98,Karachi,Sindh,2023-04-22,CUST6843
ORD00168,P005,T-Shirt,Clothing,29.99,2,59.98,Rawalpindi,Punjab,2023-06-21,CUST7630
ORD00169,P014,Shampoo,Beauty,12.99,5,64.95,Peshawar,KPK,2023-06-18,CUST9545
ORD00170,P013,Face Cream,Beauty,34.99,2,69.98,Faisalabad,Punjab,2023-05-08,CUST4525
ORD00171,P004,Running Shoes,Footwear,89.99,5,449.95,Rawalpindi,Punjab,2023-03-15,CUST6841
ORD00172,P015,Yoga Mat,Sports,39.99,4,159.96,Lahore,Punjab,2023-06-06,CUST7479
ORD00173,P004,Running Shoes,Footwear,89.99,4,359.96,Rawalpindi,Punjab,2023-04-02,CUST7523
ORD00174,P012,Office Chair,Furniture,249.99,4,999.96,Peshawar,KPK,2023-03-20,CUST4217
ORD00175,P015,Yoga Mat,Sports,39.99,3,119.97,Lahore,Punjab,2023-06-10,CUST6225
ORD00176,P005,T-Shirt,Clothing,29.99,5,149.95,Multan,Punjab,2023-11-10,CUST1652
ORD00177,P007,Coffee Maker,Appliances,79.99,1,79.99,Lahore,Punjab,2023-07-10,CUST3578
ORD00178,P005,T-Shirt,Clothing,29.99,5,149.95,Rawalpindi,Punjab,2023-01-04,CUST5546
ORD00179,P004,Running Shoes,Footwear,89.99,1,89.99,Quetta,Balochistan,2023-03-20,CUST2165
ORD00180,P012,Office Chair,Furniture,249.99,3,749.97,Faisalabad,Punjab,2023-03-25,CUST8565
ORD00181,P015,Yoga Mat,Sports,39.99,3,119.97,Multan,Punjab,2023-12-15,CUST7987
ORD00182,P008,Blender,Appliances,49.99,1,49.99,Islamabad,Federal,2023-01-02,CUST8698
ORD00183,P010,Textbook,Books,79.99,2,159.98,Faisalabad,Punjab,2023-06-04,CUST6399
ORD00184,P008,Blender,Appliances,49.99,1,49.99,Quetta,Balochistan,2023-11-28,CUST2363
ORD00185,P012,Office Chair,Furniture,249.99,3,749.97,Multan,Punjab,2023-01-05,CUST8814
ORD00186,P001,Laptop,Electronics,899.99,5,4499.95,Quetta,Balochistan,2023-09-30,CUST5745
ORD00187,P013,Face Cream,Beauty,34.99,1,34.99,Quetta,Balochistan,2023-06-29,CUST5965
ORD00188,P012,Office Chair,Furniture,249.99,1,249.99,Rawalpindi,Punjab,2023-06-25,CUST2013
ORD00189,P006,Jeans,Clothing,59.99,1,59.99,Quetta,Balochistan,2023-01-03,CUST7001
ORD00190,P014,Shampoo,Beauty,12.99,2,25.98,Quetta,Balochistan,2023-05-07,CUST1265
ORD00191,P005,T-Shirt,Clothing,29.99,2,59.98,Rawalpindi,Punjab,2023-09-07,CUST2180
ORD00192,P012,Office Chair,Furniture,249.99,4,999.96,Islamabad,Federal,2023-09-02,CUST3686
ORD00193,P002,Smartphone,Electronics,699.99,5,3499.95,Quetta,Balochistan,2023-06-01,CUST2861
ORD00194,P014,Shampoo,Beauty,12.99,3,38.97,Faisalabad,Punjab,2023-12-08,CUST7827
ORD00195,P007,Coffee Maker,Appliances,79.99,4,319.96,Lahore,Punjab,2023-05-27,CUST8547
ORD00196,P007,Coffee Maker,Appliances,79.99,5,399.95,Islamabad,Federal,2023-03-16,CUST6690
ORD00197,P003,Headphones,Electronics,149.99,3,449.97,Islamabad,Federal,2023-12-06,CUST5739
ORD00198,P007,Coffee Maker,Appliances,79.99,4,319.96,Islamabad,Federal,2023-03-13,CUST4720
ORD00199,P011,Sofa,Furniture,599.99,2,1199.98,Multan,Punjab,2023-05-07,CUST9253
ORD00200,P014,Shampoo,Beauty,12.99,2,25.98,Quetta,Balochistan,2023-01-10,CUST7133
ORD00201,P011,Sofa,Furniture,599.99,2,1199.98,Multan,Punjab,2023-10-08,CUST1242
ORD00202,P014,Shampoo,Beauty,12.99,5,64.95,Peshawar,KPK,2023-06-28,CUST6478
ORD00203,P011,Sofa,Furniture,599.99,4,2399.96,Quetta,Balochistan,2023-06-04,CUST7849
ORD00204,P014,Shampoo,Beauty,12.99,4,51.96,Multan,Punjab,2023-10-16,CUST6792
ORD00205,P015,Yoga Mat,Sports,39.99,5,199.95,Quetta,Balochistan,2023-12-09,CUST7971
ORD00206,P007,Coffee Maker,Appliances,79.99,1,79.99,Karachi,Sindh,2023-06-01,CUST7102
ORD00207,P003,Headphones,Electronics,149.99,1,149.99,Multan,Punjab,2023-10-16,CUST1560
ORD00208,P013,Face Cream,Beauty,34.99,1,34.99,Quetta,Balochistan,2023-12-29,CUST5124
ORD00209,P008,Blender,Appliances,49.99,2,99.98,Peshawar,KPK,2023-03-23,CUST2372
ORD00210,P005,T-Shirt,Clothing,29.99,1,29.99,Quetta,Balochistan,2023-09-13,CUST3570
ORD00211,P013,Face Cream,Beauty,34.99,4,139.96,Quetta,Balochistan,2023-06-06,CUST3957
ORD00212,P015,Yoga Mat,Sports,39.99,1,39.99,Lahore,Punjab,2023-10-09,CUST1441
ORD00213,P004,Running Shoes,Footwear,89.99,1,89.99,Islamabad,Federal,2023-07-05,CUST9788
ORD00214,P015,Yoga Mat,Sports,39.99,4,159.96,Islamabad,Federal,2023-12-08,CUST2229
ORD00215,P002,Smartphone,Electronics,699.99,2,1399.98,Islamabad,Federal,2023-06-20,CUST8699
ORD00216,P012,Office Chair,Furniture,249.99,2,499.98,Rawalpindi,Punjab,2023-09-02,CUST4758
ORD00217,P007,Coffee Maker,Appliances,79.99,4,319.96,Multan,Punjab,2023-09-03,CUST8811
ORD00218,P004,Running Shoes,Footwear,89.99,1,89.99,Rawalpindi,Punjab,2023-02-13,CUST4399
ORD00219,P004,Running Shoes,Footwear,89.99,4,359.96,Peshawar,KPK,2023-01-03,CUST8109
ORD00220,P012,Office Chair,Furniture,249.99,2,499.98,Peshawar,KPK,2023-11-17,CUST1773
ORD00221,P008,Blender,Appliances,49.99,3,149.97,Rawalpindi,Punjab,2023-08-26,CUST3341
ORD00222,P011,Sofa,Furniture,599.99,3,1799.97,Rawalpindi,Punjab,2023-12-26,CUST4966
ORD00223,P013,Face Cream,Beauty,34.99,2,69.98,Rawalpindi,Punjab,2023-11-01,CUST5253
ORD00224,P011,Sofa,Furniture,599.99,4,2399.96,Peshawar,KPK,2023-11-07,CUST8833
ORD00225,P004,Running Shoes,Footwear,89.99,3,269.97,Karachi,Sindh,2023-10-08,CUST2343
ORD00226,P001,Laptop,Electronics,899.99,4,3599.96,Rawalpindi,Punjab,2023-08-06,CUST9487
ORD00227,P008,Blender,Appliances,49.99,4,199.96,Islamabad,Federal,2023-04-19,CUST4936
ORD00228,P011,Sofa,Furniture,599.99,1,599.99,Lahore,Punjab,2023-11-19,CUST8253
ORD00229,P001,Laptop,Electronics,899.99,3,2699.97,Rawalpindi,Punjab,2023-04-22,CUST7260
ORD00230,P002,Smartphone,Electronics,699.99,3,2099.97,Islamabad,Federal,2023-10-27,CUST8871
ORD00231,P010,Textbook,Books,79.99,4,319.96,Lahore,Punjab,2023-10-14,CUST4968
ORD00232,P012,Office Chair,Furniture,249.99,3,749.97,Quetta,Balochistan,2023-12-09,CUST3253
ORD00233,P010,Textbook,Books,79.99,5,399.95,Lahore,Punjab,2023-10-23,CUST8907
ORD00234,P011,Sofa,Furniture,599.99,3,1799.97,Rawalpindi,Punjab,2023-11-09,CUST1741
ORD00235,P002,Smartphone,Electronics,699.99,2,1399.98,Islamabad,Federal,2023-01-01,CUST5250
ORD00236,P011,Sofa,Furniture,599.99,4,2399.96,Rawalpindi,Punjab,2023-08-02,CUST1319
ORD00237,P010,Textbook,Books,79.99,3,239.97,Karachi,Sindh,2023-06-09,CUST9182
ORD00238,P005,T-Shirt,Clothing,29.99,1,29.99,Karachi,Sindh,2023-04-19,CUST8531
ORD00239,P004,Running Shoes,Footwear,89.99,3,269.97,Faisalabad,Punjab,2023-06-04,CUST5602
ORD00240,P014,Shampoo,Beauty,12.99,4,51.96,Lahore,Punjab,2023-02-22,CUST6036
ORD00241,P010,Textbook,Books,79.99,3,239.97,Peshawar,KPK,2023-01-27,CUST5659
ORD00242,P003,Headphones,Electronics,149.99,5,749.95,Lahore,Punjab,2023-02-24,CUST5821
ORD00243,P013,Face Cream,Beauty,34.99,3,104.97,Quetta,Balochistan,2023-09-18,CUST7691
ORD00244,P005,T-Shirt,Clothing,29.99,4,119.96,Faisalabad,Punjab,2023-08-10,CUST9637
ORD00245,P004,Running Shoes,Footwear,89.99,4,359.96,Rawalpindi,Punjab,2023-09-16,CUST2190
ORD00246,P009,Novel Book,Books,14.99,1,14.99,Rawalpindi,Punjab,2023-12-01,CUST3056
ORD00247,P006,Jeans,Clothing,59.99,1,59.99,Karachi,Sindh,2023-01-21,CUST3965
ORD00248,P005,T-Shirt,Clothing,29.99,5,149.95,Rawalpindi,Punjab,2023-02-13,CUST2225
ORD00249,P014,Shampoo,Beauty,12.99,3,38.97,Karachi,Sindh,2023-10-05,CUST5543
ORD00250,P006,Jeans,Clothing,59.99,5,299.95,Karachi,Sindh,2023-09-20,CUST9043
ORD00251,P009,Novel Book,Books,14.99,1,14.99,Lahore,Punjab,2023-11-13,CUST4291
ORD00252,P006,Jeans,Clothing,59.99,3,179.97,Multan,Punjab,2023-10-12,CUST3825
ORD00253,P014,Shampoo,Beauty,12.99,1,12.99,Islamabad,Federal,2023-10-03,CUST7236
ORD00254,P001,Laptop,Electronics,899.99,4,3599.96,Karachi,Sindh,2023-11-17,CUST8114
ORD00255,P015,Yoga Mat,Sports,39.99,5,199.95,Multan,Punjab,2023-08-24,CUST6128
ORD00256,P003,Headphones,Electronics,149.99,5,749.95,Faisalabad,Punjab,2023-04-04,CUST8207
ORD00257,P005,T-Shirt,Clothing,29.99,4,119.96,Quetta,Balochistan,2023-06-24,CUST9970
ORD00258,P013,Face Cream,Beauty,34.99,3,104.97,Rawalpindi,Punjab,2023-01-07,CUST1653
ORD00259,P007,Coffee Maker,Appliances,79.99,3,239.97,Rawalpindi,Punjab,2023-09-18,CUST7859
